,files,language,blank,comment,code,name
1,22,JavaScript,4321,4217,15907,qucat
2,18,Python,1426,2605,4154,qucat
3,1,SVG,0,0,2671,qucat
4,8,CSS,345,67,1361,qucat
5,40,reStructuredText,236,145,483,qucat
6,5,Jupyter Notebook,0,2002,183,qucat
7,5,Markdown,27,0,73,qucat
8,3,YAML,16,28,47,qucat
9,3,DOS Batch,8,1,28,qucat
10,1,make,4,6,9,qucat
11,199,SUM,18690,9260,48124,qucat
0,106,Python,4395,8739,11105,qiskit-ignis
1,28,YAML,26,7,583,qiskit-ignis
2,7,Markdown,130,0,362,qiskit-ignis
3,1,INI,5,0,57,qiskit-ignis
4,22,JSON,0,0,22,qiskit-ignis
5,11,reStructuredText,36,114,18,qiskit-ignis
6,1,CSS,2,0,10,qiskit-ignis
7,1,make,4,15,9,qiskit-ignis
8,177,SUM,4598,8875,12166,qiskit-ignis
0,96,Python,2802,4137,10933,orbkit
1,2,HTML,362,24,2507,orbkit
2,3,SVG,3,3,2277,orbkit
3,29,reStructuredText,1053,667,1621,orbkit
4,6,Cython,104,76,742,orbkit
5,3,TeX,11,1,509,orbkit
6,3,C,31,26,270,orbkit
7,1,DOS Batch,16,1,96,orbkit
8,1,make,15,4,70,orbkit
9,1,CSV,0,0,32,orbkit
10,1,YAML,5,3,26,orbkit
11,3,C/C++ Header,5,4,16,orbkit
12,3,SQL,0,0,9,orbkit
13,1,MATLAB,5,8,8,orbkit
14,1,Bourne Shell,1,0,5,orbkit
15,154,SUM,4413,4954,19121,orbkit
0,25,CSV,0,0,67758,deepchem
1,540,Python,14168,28248,57069,deepchem
2,31,Jupyter Notebook,0,73948,4332,deepchem
3,23,reStructuredText,980,1027,1532,deepchem
4,42,Markdown,295,0,789,deepchem
5,10,YAML,9,15,497,deepchem
6,13,Bourne Shell,8,9,94,deepchem
7,1,PowerShell,5,6,28,deepchem
8,1,make,6,7,13,deepchem
9,1,CSS,2,3,8,deepchem
10,2,JSON,0,0,6,deepchem
11,689,SUM,15473,103263,132126,deepchem
0,42,XML,2133,77,51708,aiida-quantumespresso
1,164,Python,4241,3875,14883,aiida-quantumespresso
2,54,YAML,40,1,6120,aiida-quantumespresso
3,4,XSD,92,119,3796,aiida-quantumespresso
4,5,JSON,0,0,2498,aiida-quantumespresso
5,30,reStructuredText,782,297,2020,aiida-quantumespresso
6,9,CSV,0,0,704,aiida-quantumespresso
7,3,Markdown,99,0,287,aiida-quantumespresso
8,2,CSS,8,4,133,aiida-quantumespresso
9,1,TOML,11,0,69,aiida-quantumespresso
10,1,make,10,6,23,aiida-quantumespresso
11,315,SUM,7416,4379,82241,aiida-quantumespresso
0,8,TeX,1429,439,11735,nuSQuIDS
1,44,C++,1466,1708,7153,nuSQuIDS
2,20,C/C++ Header,819,2265,4636,nuSQuIDS
3,2,Bourne Again Shell,125,25,738,nuSQuIDS
4,4,Python,275,125,605,nuSQuIDS
5,1,Jupyter Notebook,0,1019,336,nuSQuIDS
6,2,Markdown,85,0,173,nuSQuIDS
7,1,Bourne Shell,16,56,134,nuSQuIDS
8,3,make,30,24,66,nuSQuIDS
9,1,YAML,0,0,15,nuSQuIDS
10,1,sed,0,0,1,nuSQuIDS
11,87,SUM,4245,5661,25592,nuSQuIDS
0,104,Python,1487,5984,12409,qrefine
1,11,HTML,71,0,954,qrefine
2,13,Markdown,277,0,458,qrefine
3,2,CSS,92,31,391,qrefine
4,1,Bourne Again Shell,11,9,23,qrefine
5,1,YAML,4,18,12,qrefine
6,132,SUM,1942,6042,14247,qrefine
0,111,Python,5109,6111,20659,QNET
1,15,reStructuredText,561,351,889,QNET
2,2,make,37,7,98,QNET
3,2,HTML,8,3,85,QNET
4,4,YAML,6,2,68,QNET
5,3,INI,13,1,66,QNET
6,1,SVG,0,12,55,QNET
7,1,CSS,10,2,28,QNET
8,1,Markdown,4,0,11,QNET
9,140,SUM,5748,6489,21959,QNET
0,600,Python,16629,29050,53823,qiskit-aqua
1,92,YAML,72,85,1451,qiskit-aqua
2,1,Fortran 77,0,317,801,qiskit-aqua
3,6,Markdown,294,0,793,qiskit-aqua
4,1,Jupyter Notebook,0,1739,284,qiskit-aqua
5,3,CSS,20,8,206,qiskit-aqua
6,2,make,22,27,56,qiskit-aqua
7,2,INI,5,0,47,qiskit-aqua
8,63,reStructuredText,73,322,12,qiskit-aqua
9,770,SUM,17115,31548,57473,qiskit-aqua
0,247,Python,9539,13562,31402,OpenFermion
1,12,Jupyter Notebook,0,5433,1409,OpenFermion
2,8,Markdown,121,0,353,OpenFermion
3,3,YAML,10,20,265,OpenFermion
4,5,Bourne Again Shell,26,90,138,OpenFermion
5,3,reStructuredText,59,75,134,OpenFermion
6,3,Bourne Shell,36,100,132,OpenFermion
7,2,SVG,0,1,80,OpenFermion
8,1,INI,5,0,11,OpenFermion
9,1,make,4,7,9,OpenFermion
10,2,HTML,1,0,8,OpenFermion
11,287,SUM,9801,19288,33941,OpenFermion
0,76,Python,1734,2913,4606,grove
1,13,reStructuredText,556,550,988,grove
2,8,Jupyter Notebook,0,2074,356,grove
3,2,Markdown,55,0,188,grove
4,1,INI,5,3,22,grove
5,1,Bourne Shell,5,0,15,grove
6,1,JavaScript,0,0,15,grove
7,8,JSON,0,0,8,grove
8,1,TeX,0,0,8,grove
9,1,HTML,0,0,5,grove
10,112,SUM,2355,5540,6211,grove
0,358,Python,10083,11962,25594,netket
1,5,SVG,0,13,11632,netket
2,4,CSS,54,241,7537,netket
3,7,Jupyter Notebook,0,2689,896,netket
4,10,Markdown,264,0,650,netket
5,14,reStructuredText,636,1010,498,netket
6,1,JavaScript,2,0,249,netket
7,9,YAML,58,27,248,netket
8,1,TOML,14,6,80,netket
9,1,Bourne Shell,5,38,68,netket
10,3,HTML,8,17,44,netket
11,1,make,7,7,18,netket
12,1,diff,3,13,13,netket
13,1,Bourne Again Shell,1,0,2,netket
14,416,SUM,11135,16023,47529,netket
0,19,SVG,1,38,21001,thewalrus
1,45,Python,2141,2946,5626,thewalrus
2,12,C/C++ Header,427,1004,1502,thewalrus
3,4,JavaScript,507,197,1262,thewalrus
4,3,C++,282,108,985,thewalrus
5,10,Jupyter Notebook,0,7662,796,thewalrus
6,1,TeX,64,0,536,thewalrus
7,9,HTML,48,51,511,thewalrus
8,24,reStructuredText,663,752,484,thewalrus
9,4,CSS,26,14,386,thewalrus
10,5,Markdown,283,0,313,thewalrus
11,4,make,60,26,265,thewalrus
12,1,Cython,169,206,256,thewalrus
13,4,YAML,35,15,230,thewalrus
14,2,MATLAB,0,13,75,thewalrus
15,147,SUM,4706,13032,34228,thewalrus
0,38,Python,1553,2906,6374,krotov
1,20,reStructuredText,869,673,2175,krotov
2,4,TeX,232,29,1674,krotov
3,2,SVG,0,0,1544,krotov
4,9,Jupyter Notebook,0,9741,1514,krotov
5,2,INI,70,0,296,krotov
6,5,YAML,40,3,286,krotov
7,3,make,61,13,166,krotov
8,2,HTML,8,3,85,krotov
9,6,Markdown,29,0,77,krotov
10,1,CSS,8,3,28,krotov
11,1,diff,20,20,26,krotov
12,93,SUM,2890,13391,14245,krotov
0,59,C++,1460,1263,6082,pomerol
1,38,C/C++ Header,812,1625,2605,pomerol
2,5,CMake,88,137,442,pomerol
3,2,TeX,36,0,226,pomerol
4,2,Markdown,13,0,53,pomerol
5,1,YAML,6,2,53,pomerol
6,1,Python,8,0,37,pomerol
7,108,SUM,2423,3027,9498,pomerol
0,29,C/C++ Header,534,1210,4173,EDLib
1,13,C++,102,102,800,EDLib
2,8,Python,124,29,299,EDLib
3,4,CMake,19,13,110,EDLib
4,2,YAML,8,8,85,EDLib
5,1,Markdown,12,0,47,EDLib
6,1,JSON,0,0,14,EDLib
7,1,Fortran 90,1,0,2,EDLib
8,59,SUM,800,1362,5530,EDLib
0,3,Python,57,60,141,factoring
1,1,Markdown,14,0,35,factoring
2,1,YAML,3,0,26,factoring
3,5,SUM,74,60,202,factoring
0,12,C++,295,276,2065,phase_estimation
1,3,m4,46,3,349,phase_estimation
2,7,C/C++ Header,95,61,318,phase_estimation
3,1,XML,5,7,185,phase_estimation
4,4,Markdown,100,0,164,phase_estimation
5,1,CUDA,11,7,121,phase_estimation
6,2,Bourne Shell,0,1,13,phase_estimation
7,30,SUM,552,355,3215,phase_estimation
0,64,Python,2915,3970,9139,FermiLib
1,1,Jupyter Notebook,0,1253,275,FermiLib
2,1,DOS Batch,36,2,243,FermiLib
3,1,make,30,5,190,FermiLib
4,6,reStructuredText,185,323,136,FermiLib
5,1,YAML,5,1,44,FermiLib
6,74,SUM,3171,5554,10027,FermiLib
0,45,C++,913,377,5382,QC_Tools
1,26,C/C++ Header,272,103,1150,QC_Tools
2,2,Bourne Shell,33,3,240,QC_Tools
3,3,YAML,8,2,85,QC_Tools
4,6,Bourne Again Shell,17,7,80,QC_Tools
5,2,Markdown,26,0,52,QC_Tools
6,1,make,21,0,43,QC_Tools
7,85,SUM,1290,492,7032,QC_Tools
0,63,C++,1382,188,6483,sqaod
1,68,Python,1582,1040,5013,sqaod
2,70,C/C++ Header,1724,166,4588,sqaod
3,15,CUDA,897,197,3704,sqaod
4,8,XML,0,0,1009,sqaod
5,9,reStructuredText,328,283,370,sqaod
6,10,make,84,50,163,sqaod
7,1,m4,30,0,132,sqaod
8,2,Visual Studio Solution,2,2,112,sqaod
9,1,Markdown,41,0,94,sqaod
10,7,Bourne Shell,22,8,62,sqaod
11,1,DOS Batch,8,1,26,sqaod
12,255,SUM,6100,1935,21756,sqaod
0,6,C++,338,626,1700,qbsolv
1,5,C,78,82,689,qbsolv
2,10,C/C++ Header,165,370,613,qbsolv
3,11,Python,189,277,478,qbsolv
4,4,YAML,79,14,353,qbsolv
5,13,Bourne Shell,54,68,326,qbsolv
6,12,reStructuredText,117,162,204,qbsolv
7,2,Cython,62,56,193,qbsolv
8,5,MATLAB,51,84,132,qbsolv
9,3,Bourne Again Shell,11,27,67,qbsolv
10,4,Markdown,21,0,62,qbsolv
11,1,SVG,0,0,58,qbsolv
12,1,HTML,0,2,37,qbsolv
13,1,CSS,0,0,31,qbsolv
14,1,JavaScript,3,0,26,qbsolv
15,1,make,5,6,13,qbsolv
16,80,SUM,1173,1774,4982,qbsolv
0,114,Python,6546,7500,14130,dimod
1,24,Cython,947,1106,2239,dimod
2,3,C/C++ Header,264,346,1071,dimod
3,4,C++,173,58,710,dimod
4,29,reStructuredText,601,814,594,dimod
5,3,YAML,91,17,418,dimod
6,2,make,11,3,33,dimod
7,1,CSS,0,0,31,dimod
8,2,Markdown,11,0,29,dimod
9,1,JavaScript,3,0,26,dimod
10,1,TOML,0,0,8,dimod
11,184,SUM,8647,9844,19289,dimod
0,64,Python,2691,3642,5120,dwave-system
1,15,reStructuredText,270,363,227,dwave-system
2,2,YAML,43,1,183,dwave-system
3,1,CSS,0,0,31,dwave-system
4,1,DOS Batch,8,1,27,dwave-system
5,2,Markdown,11,0,27,dwave-system
6,1,JavaScript,3,0,26,dwave-system
7,1,make,5,6,13,dwave-system
8,87,SUM,3031,4013,5654,dwave-system
0,32,Python,879,1461,1370,dwavebinarycsp
1,18,reStructuredText,187,283,192,dwavebinarycsp
2,2,YAML,46,1,185,dwavebinarycsp
3,1,CSS,0,0,31,dwavebinarycsp
4,2,Markdown,11,0,29,dwavebinarycsp
5,1,JavaScript,3,0,26,dwavebinarycsp
6,1,make,5,6,13,dwavebinarycsp
7,57,SUM,1131,1751,1846,dwavebinarycsp
0,48,Python,1306,1956,3001,penaltymodel
1,2,YAML,105,5,369,penaltymodel
2,36,reStructuredText,213,283,173,penaltymodel
3,1,CSS,0,0,31,penaltymodel
4,1,DOS Batch,8,1,27,penaltymodel
5,2,Markdown,11,0,27,penaltymodel
6,1,JavaScript,3,0,26,penaltymodel
7,1,make,5,6,13,penaltymodel
8,1,XML,0,0,6,penaltymodel
9,93,SUM,1651,2251,3673,penaltymodel
0,247,C/C++ Header,14239,15419,51941,mpqc
1,120,C++,2091,1056,10390,mpqc
2,13,CMake,368,591,4103,mpqc
3,55,JSON,10,0,2327,mpqc
4,4,Markdown,37,0,121,mpqc
5,1,YAML,1,1,114,mpqc
6,2,Python,30,14,92,mpqc
7,3,Bourne Shell,31,51,87,mpqc
8,1,XML,0,0,31,mpqc
9,1,HTML,2,0,12,mpqc
10,447,SUM,16809,17132,69218,mpqc
0,1108,Python,36402,48772,179443,pyscf
1,65,C,2888,2825,41259,pyscf
2,48,reStructuredText,1414,541,4074,pyscf
3,5,Lisp,78,145,886,pyscf
4,18,C/C++ Header,176,250,640,pyscf
5,18,Bourne Shell,45,52,247,pyscf
6,7,YAML,22,59,216,pyscf
7,2,Fortran 90,60,56,159,pyscf
8,1,make,28,7,143,pyscf
9,1,SVG,1,1,99,pyscf
10,4,Markdown,22,0,48,pyscf
11,1,INI,5,0,16,pyscf
12,1,diff,1,7,5,pyscf
13,1279,SUM,41142,52715,227235,pyscf
0,2933,JSON,3,0,11771553,basis_set_exchange
1,114,Python,3453,4040,7853,basis_set_exchange
2,18,reStructuredText,470,282,760,basis_set_exchange
3,4,YAML,15,4,108,basis_set_exchange
4,1,Markdown,34,0,66,basis_set_exchange
5,1,make,4,6,10,basis_set_exchange
6,1,INI,0,0,4,basis_set_exchange
7,3072,SUM,3979,4332,11780354,basis_set_exchange
0,5,JSON,0,0,194864,QCElemental
1,98,Python,4267,5674,58260,QCElemental
2,12,reStructuredText,477,315,702,QCElemental
3,14,Markdown,78,0,288,QCElemental
4,9,YAML,26,9,179,QCElemental
5,2,make,14,10,65,QCElemental
6,1,Bourne Shell,4,5,23,QCElemental
7,1,HTML,2,4,14,QCElemental
8,1,TOML,0,0,3,QCElemental
9,143,SUM,4868,6017,254398,QCElemental
0,100,Python,3636,4467,19488,QCEngine
1,10,reStructuredText,374,195,755,QCEngine
2,12,Markdown,148,0,453,QCEngine
3,19,YAML,72,43,427,QCEngine
4,1,JSON,0,0,339,QCEngine
5,1,Jupyter Notebook,0,667,62,QCEngine
6,2,make,11,8,52,QCEngine
7,1,Bourne Shell,8,8,35,QCEngine
8,1,HTML,2,4,14,QCEngine
9,1,TOML,0,0,3,QCEngine
10,148,SUM,4251,5392,21628,QCEngine
0,151,Python,8275,8751,21846,QCFractal
1,48,reStructuredText,1640,1380,2935,QCFractal
2,20,YAML,86,68,485,QCFractal
3,17,Markdown,179,0,443,QCFractal
4,1,JavaScript,39,49,174,QCFractal
5,3,Jupyter Notebook,0,7680,119,QCFractal
6,3,make,15,15,61,QCFractal
7,1,INI,18,0,57,QCFractal
8,4,JSON,0,0,56,QCFractal
9,1,Mako,7,0,17,QCFractal
10,1,HTML,0,0,6,QCFractal
11,3,XML,0,0,6,QCFractal
12,1,TOML,0,0,3,QCFractal
13,1,CSS,0,0,1,QCFractal
14,255,SUM,10259,17943,26209,QCFractal
0,64,C++,9388,3124,36365,CheMPS2
1,50,C/C++ Header,1538,3746,2156,CheMPS2
2,21,Python,231,526,1091,CheMPS2
3,13,reStructuredText,712,802,519,CheMPS2
4,12,Cython,41,219,506,CheMPS2
5,3,Markdown,185,0,490,CheMPS2
6,2,Fortran 90,62,37,215,CheMPS2
7,4,CMake,29,138,181,CheMPS2
8,1,YAML,1,4,32,CheMPS2
9,2,Bourne Shell,2,0,2,CheMPS2
10,172,SUM,12189,8596,41557,CheMPS2
0,22,XML,29,42,221316,libra-code
1,879,C/C++ Header,37024,52894,170856,libra-code
2,903,C++,34678,28908,82738,libra-code
3,473,Python,28163,23923,49286,libra-code
4,68,Fortran 77,19,15419,26495,libra-code
5,57,Jupyter Notebook,0,27479,7723,libra-code
6,44,CMake,581,726,2171,libra-code
7,27,Markdown,425,0,801,libra-code
8,22,Bourne Shell,147,132,471,libra-code
9,2,CSS,55,17,198,libra-code
10,1,JavaScript,27,15,198,libra-code
11,77,reStructuredText,197,263,169,libra-code
12,1,D,140,0,144,libra-code
13,5,YAML,41,31,130,libra-code
14,4,Bourne Again Shell,18,21,77,libra-code
15,1,C,11,9,45,libra-code
16,1,DTD,1,0,30,libra-code
17,4,Tcl/Tk,3,0,27,libra-code
18,1,DOS Batch,8,1,26,libra-code
19,1,make,4,6,9,libra-code
20,2593,SUM,101571,149886,562910,libra-code
0,1427,XML,1668,2911,976343,qmcpack
1,1110,C/C++ Header,32974,45085,195713,qmcpack
2,840,C++,23806,29350,166277,qmcpack
3,335,Python,18460,29996,87027,qmcpack
4,97,CUDA,2453,2984,27278,qmcpack
5,62,reStructuredText,7017,6515,17516,qmcpack
6,37,C,2553,3407,12261,qmcpack
7,4,diff,41,230,9429,qmcpack
8,66,Bourne Shell,871,1043,4221,qmcpack
9,6,Perl,681,653,3819,qmcpack
10,28,TeX,256,112,2545,qmcpack
11,9,XSD,0,37,2304,qmcpack
12,19,Markdown,587,1,2035,qmcpack
13,27,CMake,314,385,1760,qmcpack
14,2,CSS,201,42,995,qmcpack
15,7,YAML,69,153,770,qmcpack
16,4,Visual Basic,13,0,745,qmcpack
17,2,Lisp,19,64,189,qmcpack
18,1,SVG,0,2,151,qmcpack
19,12,C Shell,94,123,115,qmcpack
20,5,Bourne Again Shell,36,47,82,qmcpack
21,2,HTML,1,22,53,qmcpack
22,2,DOS Batch,16,2,51,qmcpack
23,3,make,12,7,30,qmcpack
24,1,CSV,0,0,24,qmcpack
25,1,JSON,0,0,15,qmcpack
26,1,Prolog,2,0,10,qmcpack
27,4110,SUM,92144,123171,1511758,qmcpack
0,1114,Fortran 77,109168,171108,848702,cp2k
1,30,Fortran 90,1747,2748,24893,cp2k
2,2,reStructuredText,2,0,12885,cp2k
3,30,m4,1200,116,11054,cp2k
4,11,JSON,0,0,7526,cp2k
5,40,Python,1744,2536,7376,cp2k
6,4,XML,407,1,7338,cp2k
7,27,C,1255,1315,6897,cp2k
8,92,Bourne Shell,956,1027,6696,cp2k
9,39,C/C++ Header,622,1452,3292,cp2k
10,3,diff,12,3334,2329,cp2k
11,8,CUDA,377,593,2202,cp2k
12,36,Markdown,617,0,2198,cp2k
13,5,Bourne Again Shell,135,244,1500,cp2k
14,2,XSLT,48,0,971,cp2k
15,10,Pascal,0,0,805,cp2k
16,2,Perl,100,179,494,cp2k
17,4,make,127,128,482,cp2k
18,2,JavaScript,42,355,258,cp2k
19,1,Lisp,18,54,181,cp2k
20,2,SVG,1,2,170,cp2k
21,1,HTML,21,7,168,cp2k
22,3,YAML,9,5,138,cp2k
23,1,Cython,35,2,124,cp2k
24,1,C Shell,0,1,17,cp2k
25,1470,SUM,118643,185207,948696,cp2k
0,108,XML,215,53,339042,xtp
1,130,Objective-C++,0,0,101752,xtp
2,224,C++,5614,6597,39597,xtp
3,168,C/C++ Header,3205,4214,9825,xtp
4,17,reStructuredText,151,59,641,xtp
5,3,CMake,1,4,67,xtp
6,5,MUMPS,0,0,39,xtp
7,655,SUM,9186,10927,490963,xtp
0,175,Fortran 90,15344,24755,42515,hande
1,94,Python,2316,4946,10466,hande
2,76,reStructuredText,2230,1629,4657,hande
3,8,TeX,252,19,2022,hande
4,65,Lua,77,116,1540,hande
5,11,C,234,579,1155,hande
6,17,C/C++ Header,156,539,1011,hande
7,2,Perl,242,476,856,hande
8,31,CMake,117,475,774,hande
9,7,make,221,310,716,hande
10,5,YAML,32,5,505,hande
11,3,HTML,0,0,259,hande
12,4,Markdown,63,0,195,hande
13,4,Bourne Shell,20,8,78,hande
14,6,Jupyter Notebook,0,1669,74,hande
15,1,C++,12,7,70,hande
16,2,SparForte,6,0,38,hande
17,1,Bourne Again Shell,4,7,17,hande
18,512,SUM,21326,35540,66948,hande
0,288,Python,19877,19373,33410,quantarhei
1,26,Cucumber,280,130,1273,quantarhei
2,75,reStructuredText,740,409,1228,quantarhei
3,1,TeX,85,2,526,quantarhei
4,7,make,94,61,311,quantarhei
5,8,YAML,177,417,278,quantarhei
6,1,DOS Batch,36,2,243,quantarhei
7,2,Cython,26,9,75,quantarhei
8,1,Jupyter Notebook,0,640,72,quantarhei
9,1,Markdown,18,0,28,quantarhei
10,1,JSON,1,0,12,quantarhei
11,1,Bourne Shell,4,0,3,quantarhei
12,412,SUM,21338,21043,37459,quantarhei
0,349,Fortran 77,9192,6466,57868,quantum_package
1,69,reStructuredText,6452,690,9997,quantum_package
2,91,OCaml,1492,321,8817,quantum_package
3,26,Python,1339,1709,2883,quantum_package
4,8,Fortran 90,433,394,2382,quantum_package
5,29,Bourne Shell,176,87,633,quantum_package
6,2,make,49,6,188,quantum_package
7,2,Markdown,69,0,142,quantum_package
8,1,C,12,0,69,quantum_package
9,1,YAML,8,7,23,quantum_package
10,1,Bourne Again Shell,1,0,5,quantum_package
11,579,SUM,19223,9680,83007,quantum_package
0,23,Julia,457,386,2612,QuantumLab.jl
1,4,TOML,80,2,325,QuantumLab.jl
2,2,make,48,20,138,QuantumLab.jl
3,1,C++,19,7,122,QuantumLab.jl
4,2,Markdown,11,0,58,QuantumLab.jl
5,3,YAML,3,0,47,QuantumLab.jl
6,35,SUM,618,415,3302,QuantumLab.jl
0,38,Python,909,3860,11091,q2mm
1,2,Markdown,153,0,457,q2mm
2,3,Bourne Shell,8,45,46,q2mm
3,4,TNSDL,0,0,36,q2mm
4,1,CSV,0,0,2,q2mm
5,48,SUM,1070,3905,11632,q2mm
0,152,Fortran 90,10179,29061,90329,critic2
1,43,C,4466,6976,41357,critic2
2,66,C/C++ Header,5246,12489,23408,critic2
3,119,Fortran 77,189,29339,22781,critic2
4,25,C++,3141,2819,22751,critic2
5,14,Bourne Shell,1286,2360,11574,critic2
6,2,JSON,0,0,612,critic2
7,16,make,38,24,329,critic2
8,3,m4,35,5,291,critic2
9,2,MATLAB,9,0,290,critic2
10,10,CMake,46,39,192,critic2
11,4,ReScript,0,0,145,critic2
12,1,awk,10,51,118,critic2
13,3,YAML,25,0,98,critic2
14,1,Markdown,23,0,61,critic2
15,2,F#,6,0,33,critic2
16,1,Lisp,0,0,6,critic2
17,464,SUM,24699,83163,214375,critic2
0,35,Python,1802,2718,5142,pyEPR
1,7,Markdown,104,0,381,pyEPR
2,22,reStructuredText,124,211,156,pyEPR
3,3,Jupyter Notebook,0,2942,148,pyEPR
4,3,YAML,15,20,59,pyEPR
5,1,DOS Batch,9,2,26,pyEPR
6,1,TeX,0,5,21,pyEPR
7,1,make,4,7,9,pyEPR
8,73,SUM,2058,5905,5942,pyEPR
0,317,C++,10170,13659,17508,GQCP
1,307,C/C++ Header,11017,21692,16348,GQCP
2,20,Jupyter Notebook,0,9304,1220,GQCP
3,24,Markdown,537,0,1098,GQCP
4,11,YAML,46,40,895,GQCP
5,7,TeX,93,28,224,GQCP
6,4,CMake,41,33,136,GQCP
7,4,JSON,1,0,70,GQCP
8,2,Bourne Shell,4,2,40,GQCP
9,2,Python,14,0,29,GQCP
10,698,SUM,21923,44758,37568,GQCP
0,176,Python,8400,15593,34088,qcdb
1,2,Perl,270,70,552,qcdb
2,5,YAML,27,18,141,qcdb
3,2,Markdown,11,0,41,qcdb
4,2,Bourne Shell,6,5,25,qcdb
5,4,reStructuredText,24,43,20,qcdb
6,1,TOML,2,0,11,qcdb
7,1,make,4,8,11,qcdb
8,193,SUM,8744,15737,34889,qcdb
0,170,C++,9234,12432,40000,qpp
1,87,C/C++ Header,6579,18080,28857,qpp
2,21,Markdown,2525,0,9060,qpp
3,48,Python,2244,4023,8112,qpp
4,3,Bazel,75,115,620,qpp
5,7,CMake,37,147,435,qpp
6,7,YAML,48,39,393,qpp
7,12,Bourne Shell,40,240,146,qpp
8,1,diff,36,75,78,qpp
9,1,JSON,0,0,59,qpp
10,2,DOS Batch,0,0,40,qpp
11,1,INI,4,9,18,qpp
12,360,SUM,20822,35160,87818,qpp
0,89,Julia,1417,1262,5544,YaoBlocks.jl
1,4,YAML,5,1,110,YaoBlocks.jl
2,2,TOML,4,0,45,YaoBlocks.jl
3,2,Markdown,4,0,13,YaoBlocks.jl
4,1,JSON,0,0,1,YaoBlocks.jl
5,98,SUM,1430,1263,5713,YaoBlocks.jl
0,75,Bourne Shell,491,235,194838,HPhi
1,68,C,2818,6529,23589,HPhi
2,215,reStructuredText,7320,1685,13271,HPhi
3,20,TeX,3032,810,12313,HPhi
4,6,SVG,1020,6,10129,HPhi
5,8,PO File,1231,1973,4201,HPhi
6,81,C/C++ Header,841,1598,3479,HPhi
7,26,Python,290,544,1855,HPhi
8,5,Fortran 90,0,825,1309,HPhi
9,12,Markdown,52,0,219,HPhi
10,5,CMake,14,13,66,HPhi
11,1,YAML,0,23,64,HPhi
12,1,DOS Batch,8,1,27,HPhi
13,1,HTML,2,0,16,HPhi
14,1,make,4,6,10,HPhi
15,525,SUM,17123,14248,265386,HPhi
0,69,Python,2637,4055,8680,SimulaQron
1,17,reStructuredText,578,176,1197,SimulaQron
2,2,make,58,5,263,SimulaQron
3,1,DOS Batch,37,2,245,SimulaQron
4,4,Markdown,54,0,181,SimulaQron
5,3,JSON,0,0,124,SimulaQron
6,12,Bourne Shell,24,1,97,SimulaQron
7,2,YAML,0,0,56,SimulaQron
8,1,SVG,0,0,9,SimulaQron
9,111,SUM,3388,4239,10852,SimulaQron
0,19,Markdown,258,0,855,Yao.jl
1,7,YAML,13,7,170,Yao.jl
2,2,CSS,17,3,93,Yao.jl
3,3,Julia,11,9,58,Yao.jl
4,2,TOML,4,0,32,Yao.jl
5,1,TeX,0,0,6,Yao.jl
6,34,SUM,303,19,1214,Yao.jl
0,195,JavaScript,4018,9626,27717,Quirk
1,2,JSON,0,0,3765,Quirk
2,6,HTML,24,13,373,Quirk
3,3,Markdown,48,0,96,Quirk
4,1,YAML,0,0,27,Quirk
5,207,SUM,4090,9639,31978,Quirk
0,148,C/C++ Header,7534,9766,38125,qiskit-aer
1,217,Python,6429,11128,25077,qiskit-aer
2,13,C++,644,548,3922,qiskit-aer
3,84,YAML,74,3,2213,qiskit-aer
4,10,CMake,250,586,1307,qiskit-aer
5,10,Markdown,437,0,934,qiskit-aer
6,6,JSON,50,0,482,qiskit-aer
7,1,INI,4,0,43,qiskit-aer
8,1,CSV,0,0,20,qiskit-aer
9,12,reStructuredText,33,115,18,qiskit-aer
10,1,TOML,0,0,13,qiskit-aer
11,1,CSS,2,0,10,qiskit-aer
12,1,make,4,15,9,qiskit-aer
13,505,SUM,15461,22161,72173,qiskit-aer
0,215,Python,12696,28296,41034,qutip
1,40,Cython,1551,2673,7775,qutip
2,51,reStructuredText,3777,4141,4223,qutip
3,3,HTML,31,0,332,qutip
4,2,C++,2,64,304,qutip
5,4,YAML,45,90,282,qutip
6,8,Markdown,66,0,200,qutip
7,1,DOS Batch,22,1,156,qutip
8,1,make,24,5,124,qutip
9,2,CSS,14,0,65,qutip
10,3,TeX,1,0,63,qutip
11,2,C/C++ Header,2,64,40,qutip
12,3,JavaScript,8,1,37,qutip
13,3,INI,4,0,30,qutip
14,1,TOML,0,0,10,qutip
15,1,JSON,0,0,1,qutip
16,340,SUM,18243,35335,54676,qutip
0,160,HTML,4781,1432,113382,QuEST
1,11,C/C++ Header,3767,5523,14085,QuEST
2,11,C,1718,1291,6548,QuEST
3,9,C++,1895,1082,5505,QuEST
4,1,CUDA,572,336,2369,QuEST
5,4,CSS,365,108,1906,QuEST
6,7,JavaScript,107,272,1533,QuEST
7,2,Markdown,115,0,383,QuEST
8,1,XML,5,7,214,QuEST
9,2,CMake,35,20,201,QuEST
10,1,make,93,100,182,QuEST
11,4,YAML,34,0,122,QuEST
12,5,Bourne Shell,21,28,32,QuEST
13,218,SUM,13508,10199,146462,QuEST
0,26,C/C++ Header,4762,4589,23118,qrack
1,38,C++,4764,2169,22649,qrack
2,8,OpenCL,340,127,1970,qrack
3,5,Markdown,172,0,380,qrack
4,16,CMake,62,8,250,qrack
5,2,YAML,1,13,129,qrack
